"Surface Type","Surface Identifier / Route / File","Owning Module","Status in Code","Tested In Scenario / Probe","Static Verification","Runtime Verification","Gating Outcome","Finding / Issue"
"Sidebar Nav Item","Route: store.inventory.index (Label: Products)","products","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.service-jobs.index (Label: Services)","services","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.customers.index (Label: Customers)","customers","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.suppliers.index (Label: Suppliers)","suppliers","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.pos (Label: POS / Counter)","pos","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.sales.index (Label: Invoicing)","invoicing","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.sales-orders.index (Label: Sales Orders)","sales_orders","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.returns-history.index (Label: Sales Returns & Refunds)","sales_returns","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.recurring-invoices.index (Label: Recurring Invoices)","recurring_invoices","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.proposals.index (Label: B2B Proposals)","b2b_proposals","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
