"Module Key","Module ID","Group","Status","User Need","Question / Discovery Path","Capability Mapping","Preset Origin","Proposal Explanation","Saved Config (tenant_modules)","Dependencies (requires/requires_one)","Backend Read/Write Gates","UI Surfaces / Tabs","Dashboard Cards","Terminology Keys","Off/On Verified","Evidence","Verdict"
"products","1","A","live","The physical things you sell, with prices and categories.","counter_checkout: ""Do people come to you and pay on the spot, or do you bill them afterwards?"" | stock_volume: ""How much stock do you have to keep track of?"" | product_variants: ""Do your items come in different sizes or colours that you need to count separately?""","counter_checkout, stock_volume, product_variants","pos_only, retail_shop, grocery, pharmacy, cafe, restaurant, bakery, mobile_electronics, clothing, hardware_store, wholesale, multi_branch_retail, rental_hire, food_counter, light_manufacturing","Targeted to: Every retail, wholesale, food and manufacturing business.","tenant_modules row: tenant_id, module_key='products', is_enabled=1/0, created_at, updated_at","None","Web routes mapped in config/modules.php; API routes ungated across entire application.","Inventory/InventoryList.jsx; Inventory/Categories.jsx; V3/Products; Nav: store.inventory.index","top_products","product, category","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"services","2","A","live","The work you do, billed by job, hour or contract — with no stock behind it.","repair_job_tracking: ""Do you want a list of every job you take on, so you can see what is booked, what you are working on and what is finished?"" | spare_parts_and_labour: ""When a job is done, do you charge for parts and for your time as separate things?"" | appointment_scheduling: ""Do people book a time with you in advance?""","repair_job_tracking, spare_parts_and_labour, appointment_scheduling","freelancer, salon, repair_workshop, field_service, professional_services, membership_studio, rental_hire, tailoring","Targeted to: Freelancers, agencies, salons, consultants, repair shops. THE HIGHEST-VALUE MODULE IN THE PLAN — it is the difference between retail software and business software.","tenant_modules row: tenant_id, module_key='services', is_enabled=1/0, created_at, updated_at","None","Web routes mapped in config/modules.php; API routes ungated across entire application.","Services/ServiceJobs.jsx; Services/CreateServiceJob.jsx; Services/ServiceJobDetail.jsx; Services/ServiceCalendar.jsx; Services/Tools.jsx; Nav: store.service-jobs.index","None","service, job, technician, contract","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"customers","3","A","live","A directory of who you sell to, with their history and balance.","repair_job_tracking: ""Do you want a list of every job you take on, so you can see what is booked, what you are working on and what is finished?"" | trade_pricing: ""Does anyone buy from you in bulk, or at a price you agreed with them?"" | customer_khata_credit: ""Do any of your customers take things now and pay you later?"" | quotations_and_orders: ""Do you send a price first and only start the work once they agree to it?"" | appointment_scheduling: ""Do people book a time with you in advance?""","repair_job_tracking, trade_pricing, customer_khata_credit, quotations_and_orders, appointment_scheduling","wholesale, freelancer, salon, repair_workshop, field_service, professional_services, membership_studio, rental_hire, catering, light_manufacturing, tailoring","Targeted to: Anyone with repeat buyers: khata shops, salons, B2B, subscriptions.","tenant_modules row: tenant_id, module_key='customers', is_enabled=1/0, created_at, updated_at","None","Web routes mapped in config/modules.php; API routes ungated across entire application.","Parties/PartiesList.jsx; Sales/Customers; Nav: store.customers.index","customer_count, top_customers","customer","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"suppliers","4","A","live","A directory of who you buy from, with balances and statements.","supplier_purchasing: ""Do you buy from suppliers, and do you want their bills and your reordering kept track of?""","supplier_purchasing","None (Optional/Addon)","Targeted to: Anyone who buys stock: retail, grocery, wholesale, restaurants.","tenant_modules row: tenant_id, module_key='suppliers', is_enabled=1/0, created_at, updated_at","None","Web routes mapped in config/modules.php; API routes ungated across entire application.","Suppliers/; Nav: store.suppliers.index","None","supplier","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"pos","5","B","live","Fast counter checkout with scanning, split payments and receipts.","repair_job_tracking: ""Do you want a list of every job you take on, so you can see what is booked, what you are working on and what is finished?"" | counter_checkout: ""Do people come to you and pay on the spot, or do you bill them afterwards?"" | table_and_kot_management: ""Do people sit down and eat in, with their orders going through to your kitchen?"" | food_delivery_dispatch: ""Do you deliver to people yourself, with your own riders?""","repair_job_tracking, counter_checkout, table_and_kot_management, food_delivery_dispatch","pos_only, retail_shop, grocery, pharmacy, cafe, restaurant, bakery, mobile_electronics, clothing, hardware_store, multi_branch_retail, food_counter","Targeted to: Retail, cafe, grocery, pharmacy, any over-the-counter trade.","tenant_modules row: tenant_id, module_key='pos', is_enabled=1/0, created_at, updated_at","requires: [products]","CRITICAL DEFECT: Web routes gated via EnsureModule EXCEPT /new-pos (store.new-pos). API routes /api/pos/* completely UNGATED (EnsureModule missing from api group in bootstrap/app.php).","Pos.jsx; Nav: store.pos","revenue_today, quick_actions","sale","verified-fail","http-probes.json: GET /api/pos/search returns HTTP 200 on solo tenant (pos disabled); GET /s/{slug}/new-pos returns HTTP 200","FAIL (API & Web Gate Bypass)"
"invoicing","6","B","live","Create, send and print invoices — with or without a shop counter.","None - Not mapped to any capability in CapabilityRegistry","None","freelancer, salon, repair_workshop, field_service, professional_services, membership_studio, rental_hire, catering, light_manufacturing","Targeted to: Freelancers, agencies, B2B, wholesale, anyone who bills rather than rings up.","tenant_modules row: tenant_id, module_key='invoicing', is_enabled=1/0, created_at, updated_at","requires_one: [products,services]","DEFECT: Route /s/{slug}/new-invoice (store.new-invoice) is ungated (returns 200 without invoicing).","Sales/CreateInvoice.jsx; Sales/SalesHistory.jsx; Sales/MasterSales.jsx; Sales/Show.jsx; Nav: store.sales.index","sales_summary, revenue_trend","invoice, sale","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"quotations","7","B","building","Send price quotes and turn accepted ones into orders or invoices.","quotations_and_orders: ""Do you send a price first and only start the work once they agree to it?"" (BUG: Dropped)","BROKEN: Implies 'quotations' instead of 'quotations'. CapabilityRegistry implies ['quotations'], but module status in config/modules is 'building', so dropped from live registry!","freelancer","Targeted to: Contractors, wholesale, agencies, tender work.","tenant_modules row: tenant_id, module_key='quotations', is_enabled=1/0, created_at, updated_at","requires_one: [products,services]","Web routes mapped in config/modules.php; API routes ungated across entire application."," | LEAK: Hardcoded in SellModuleTabs.jsx (renders tabs regardless of module status)","None","quotation","static-only","Module status in config/modules.php is 'building'. Excluded from live tenant provisioning.","BLOCKED (BUILDING)"
"sales_orders","8","B","live","Take an order today, fulfil and invoice it later.","food_delivery_dispatch: ""Do you deliver to people yourself, with your own riders?"" | customer_khata_credit: ""Do any of your customers take things now and pay you later?"" | quotations_and_orders: ""Do you send a price first and only start the work once they agree to it?"" | appointment_scheduling: ""Do people book a time with you in advance?""","food_delivery_dispatch, customer_khata_credit, quotations_and_orders, appointment_scheduling","wholesale, catering, tailoring","Targeted to: Made-to-order work: wedding cakes, tailoring, custom furniture, project supply.","tenant_modules row: tenant_id, module_key='sales_orders', is_enabled=1/0, created_at, updated_at","requires_one: [products,services]","Web routes mapped in config/modules.php; API routes ungated across entire application.","SalesOrders/; Sales/Orders; Nav: store.sales-orders.index | LEAK: Hardcoded in SellModuleTabs.jsx (renders tabs regardless of module status)","open_orders","order","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"sales_returns","9","B","live","Take goods back, refund money or issue credit — correctly, in the books.","None - Not mapped to any capability in CapabilityRegistry","None","freelancer","Targeted to: All retail. A shop that cannot take a return is not a shop.","tenant_modules row: tenant_id, module_key='sales_returns', is_enabled=1/0, created_at, updated_at","requires_one: [products,services]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Returns/; Nav: store.returns-history.index | LEAK: Hardcoded in SellModuleTabs.jsx (renders tabs regardless of module status)","None","return","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"recurring_invoices","10","B","live","Bill the same customer on a schedule without touching it each month.","None - Not mapped to any capability in CapabilityRegistry","None","membership_studio","Targeted to: Gyms, rentals, retainers, subscriptions, maintenance contracts.","tenant_modules row: tenant_id, module_key='recurring_invoices', is_enabled=1/0, created_at, updated_at","requires: [invoicing, customers]","Web routes mapped in config/modules.php; API routes ungated across entire application.","RecurringInvoices/; Reminders/; Nav: store.recurring-invoices.index | LEAK: Hardcoded in SellModuleTabs.jsx (renders tabs regardless of module status)","None","invoice","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
